bait,bait_uniprot,prey_gene,prey_uniprot,miscore
E,P0DTC4,AP3B1,O00203,0.53
E,P0DTC4,BRD4,O60885,0.53
E,P0DTC4,BRD2,P25440,0.53
E,P0DTC4,CWC27,Q6UX04,0.53
E,P0DTC4,ZC3H18,Q86VM9,0.66
E,P0DTC4,SLC44A2,Q8IWA5,0.53
Nsp1,P0DTD1,COLGALT1,Q8NBJ5,0.53
Nsp1,P0DTD1,PKP2,Q99959,0.66
Nsp1,P0DTD1,POLA1,P09884,0.67
Nsp1,P0DTD1,PRIM1,P49642,0.64
Nsp1,P0DTD1,PRIM2,P49643,0.64
Nsp1,P0DTD1,POLA2,Q14181,0.76
N,P0DTC9,RRP9,O43818,0.53
N,P0DTC9,PABPC1,P11940,0.80
N,P0DTC9,CSNK2A2,P19784,0.53
N,P0DTC9,CSNK2B,P67870,0.64
N,P0DTC9,G3BP1,Q13283,0.98
N,P0DTC9,PABPC4,Q13310,0.73
N,P0DTC9,LARP1,Q6PKG0,0.79
N,P0DTC9,FAM98A,Q8NCA5,0.73
N,P0DTC9,SNIP1,Q8TAD8,0.64
N,P0DTC9,UPF1,Q92900,0.64
N,P0DTC9,MOV10,Q9HCE1,0.91
N,P0DTC9,G3BP2,Q9UN86,0.97
N,P0DTC9,DDX21,Q9NR30,0.87
N,P0DTC9,RBM28,Q9NW13,0.73
N,P0DTC9,RPL36,Q9Y3U8,0.64
Nsp10,P0DTD1,AP2A2,O94973,0.66
Nsp10,P0DTD1,GFER,P55789,0.66
Nsp10,P0DTD1,ERGIC1,Q969X5,0.53
Nsp10,P0DTD1,AP2M1,Q96CW1,0.53
Nsp10,P0DTD1,GRPEL1,Q9HAV7,0.53
Nsp11,P0DTC1,TBCA,O75347,0.59
M,P0DTC5,PMPCB,O75439,0.64
M,P0DTC5,YIF1A,O95070,0.53
M,P0DTC5,ATP1B1,P05026,0.64
M,P0DTC5,ACADM,P11310,0.53
M,P0DTC5,ETFA,P13804,0.53
M,P0DTC5,STOM,P27105,0.53
M,P0DTC5,GGCX,P38435,0.53
M,P0DTC5,ATP6V1A,P38606,0.53
M,P0DTC5,PSMD8,P48556,0.53
M,P0DTC5,REEP5,Q00765,0.64
M,P0DTC5,PMPCA,Q10713,0.53
M,P0DTC5,ANO6,Q4KMQ2,0.53
M,P0DTC5,PITRM1,Q5JRX3,0.64
M,P0DTC5,SLC30A9,Q6PML9,0.53
M,P0DTC5,FASTKD5,Q7L8L6,0.53
M,P0DTC5,SLC30A7,Q8NEW0,0.53
M,P0DTC5,TUBGCP3,Q96CW5,0.53
M,P0DTC5,COQ8B,Q96D53,0.64
M,P0DTC5,SAAL1,Q96ER3,0.53
M,P0DTC5,REEP6,Q96HR9,0.53
M,P0DTC5,INTS4,Q96HW7,0.64
M,P0DTC5,SLC25A21,Q9BQT8,0.53
M,P0DTC5,TUBGCP2,Q9BSJ2,0.53
M,P0DTC5,TARS2,Q9BW92,0.53
M,P0DTC5,RTN4,Q9NQC3,0.64
M,P0DTC5,FAM8A1,Q9UBU6,0.53
M,P0DTC5,AASS,Q9UDR5,0.53
M,P0DTC5,AKAP8L,Q9ULX6,0.53
M,P0DTC5,AAR2,Q9Y312,0.53
M,P0DTC5,BZW2,Q9Y6E2,0.53
Spike,P0DTC2,GOLGA7,Q7Z5G4,0.82
Spike,P0DTC2,ZDHHC5,Q9C0B5,0.86
Nsp12,P0DTD1,SBNO1,A3KN83,0.53
Nsp12,P0DTD1,BCKDK,O14874,0.53
Nsp12,P0DTD1,AKAP8,O43823,0.53
Nsp12,P0DTD1,MYCBP2,O75592,0.53
Nsp12,P0DTD1,SLU7,O95391,0.53
Nsp12,P0DTD1,RIPK1,Q13546,0.79
Nsp12,P0DTD1,UBAP2L,Q14157,0.66
Nsp12,P0DTD1,TYSND1,Q2T9J0,0.53
Nsp12,P0DTD1,PDZD11,Q5EBL8,0.53
Nsp12,P0DTD1,PRRC2B,Q5JSZ5,0.53
Nsp12,P0DTD1,UBAP2,Q5T6F2,0.53
Nsp12,P0DTD1,ZNF318,Q5VUA4,0.53
Nsp12,P0DTD1,CRTC3,Q6UUV7,0.53
Nsp12,P0DTD1,USP54,Q70EL1,0.66
Nsp12,P0DTD1,ZC3H7A,Q8IWR0,0.53
Nsp12,P0DTD1,LARP4B,Q92615,0.53
Nsp12,P0DTD1,RBM41,Q96IZ5,0.66
Nsp12,P0DTD1,TCF12,Q99081,0.66
Nsp12,P0DTD1,PPIL3,Q9H2H8,0.53
Nsp12,P0DTD1,PLEKHA5,Q9HAU0,0.66
Nsp13,P0DTD1,TBKBP1,A7MCY6,0.53
Nsp13,P0DTD1,CIT,O14578,0.53
Nsp13,P0DTD1,HSBP1,O75506,0.53
Nsp13,P0DTD1,PCNT,O95613,0.53
