strain,viral_protein,human_gene,viral_uniprot,human_uniprot,viral_desc
MERS-CoV,E,ATL3,K9N5R3,Q6DD88,Envelope small membrane protein
MERS-CoV,E,ATP6AP2,K9N5R3,O75787,Envelope small membrane protein
MERS-CoV,E,B4GAT1,K9N5R3,O43505,Envelope small membrane protein
MERS-CoV,E,BRI3BP,K9N5R3,Q8WY22,Envelope small membrane protein
MERS-CoV,E,CHPF,K9N5R3,Q8IZ52,Envelope small membrane protein
MERS-CoV,E,DCP1A,K9N5R3,Q9NPI6,Envelope small membrane protein
MERS-CoV,E,DNAJB9,K9N5R3,Q9UBS3,Envelope small membrane protein
MERS-CoV,E,IGHG4,K9N5R3,P01861,Envelope small membrane protein
MERS-CoV,E,SCFD1,K9N5R3,Q8WVM8,Envelope small membrane protein
MERS-CoV,E,Sptlc2,K9N5R3,O15270,Envelope small membrane protein
MERS-CoV,E,TMEM43,K9N5R3,Q9BTV4,Envelope small membrane protein
MERS-CoV,E,TNPO3,K9N5R3,Q9Y5L0,Envelope small membrane protein
MERS-CoV,E,WLS,K9N5R3,Q5T9L3,Envelope small membrane protein
MERS-CoV,M,CDS2,K9N7A1,O95674,Membrane protein
MERS-CoV,M,DIPK2A,K9N7A1,Q8NDZ4,Membrane protein
MERS-CoV,M,FANCI,K9N7A1,Q9NVI1,Membrane protein
MERS-CoV,M,FUT8,K9N7A1,Q9BYC5,Membrane protein
MERS-CoV,M,GCN1,K9N7A1,Q92616,Membrane protein
MERS-CoV,M,HEATR1,K9N7A1,Q9H583,Membrane protein
MERS-CoV,M,IPO11,K9N7A1,Q9UI26,Membrane protein
MERS-CoV,M,LMAN2L,K9N7A1,Q9H0V9,Membrane protein
MERS-CoV,M,LMBRD2,K9N7A1,Q68DH5,Membrane protein
MERS-CoV,M,LTN1,K9N7A1,O94822,Membrane protein
MERS-CoV,M,MARCHF5,K9N7A1,Q9NX47,Membrane protein
MERS-CoV,M,NUP210,K9N7A1,Q8TEM1,Membrane protein
MERS-CoV,M,TELO2,K9N7A1,Q9Y4R8,Membrane protein
MERS-CoV,M,TTC27,K9N7A1,Q6P3X3,Membrane protein
MERS-CoV,M,TUBGCP2,K9N7A1,Q9BSJ2,Membrane protein
MERS-CoV,M,VAMP8,K9N7A1,Q9BV40,Membrane protein
MERS-CoV,M,YIPF6,K9N7A1,Q96EC8,Membrane protein
MERS-CoV,MERS-ORF3,CNPY4,K9N796,Q8N129,Non-structural protein ORF3
MERS-CoV,MERS-ORF3,KEAP1,K9N796,Q14145,Non-structural protein ORF3
MERS-CoV,MERS-ORF3,MAPK1,K9N796,P28482,Non-structural protein ORF3
MERS-CoV,MERS-ORF3,MAPK3,K9N796,P27361,Non-structural protein ORF3
MERS-CoV,MERS-ORF3,NME1,K9N796,P15531,Non-structural protein ORF3
MERS-CoV,MERS-ORF3,RAD23B,K9N796,P54727,Non-structural protein ORF3
MERS-CoV,MERS-ORF3,RNH1,K9N796,P13489,Non-structural protein ORF3
MERS-CoV,MERS-ORF3,SAE1,K9N796,Q9UBE0,Non-structural protein ORF3
MERS-CoV,MERS-ORF3,TPP2,K9N796,P29144,Non-structural protein ORF3
MERS-CoV,MERS-ORF3,XPNPEP3,K9N796,Q9NQH7,Non-structural protein ORF3
MERS-CoV,MERS-ORF4a,AKAP17A,K9N4V0,Q02040,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,ALDH9A1,K9N4V0,P49189,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,CBX8,K9N4V0,Q9HC52,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,CCDC86,K9N4V0,Q9H6F5,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,DAP3,K9N4V0,P51398,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,DHX37,K9N4V0,Q8IY37,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,DICER1,K9N4V0,Q9UPY3,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,IGHMBP2,K9N4V0,P38935,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,IMP4,K9N4V0,Q96G21,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,LARP7,K9N4V0,Q4G0J3,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,MARK2,K9N4V0,Q7KZI7,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,MEPCE,K9N4V0,Q7L2J0,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,METTL16,K9N4V0,Q86W50,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,MPHOSPH10,K9N4V0,O00566,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,MRPL11,K9N4V0,Q9Y3B7,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,MRPL15,K9N4V0,Q9P015,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,MRPS15,K9N4V0,P82914,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,MRPS2,K9N4V0,Q9Y399,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,MRPS24,K9N4V0,Q96EL2,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,MRPS25,K9N4V0,P82663,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,MRPS27,K9N4V0,Q92552,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,MRPS28,K9N4V0,Q9Y2Q9,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,MRPS33,K9N4V0,Q9Y291,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,MRPS5,K9N4V0,P82675,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,MRPS9,K9N4V0,P82933,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,Map9,K9N4V0,Q49MG5,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,PRKRA,K9N4V0,O75569,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,QTRT1,K9N4V0,Q9BXR0,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,RBMS2,K9N4V0,Q15434,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,RRP36,K9N4V0,Q96EU6,Non-structural protein ORF4a
MERS-CoV,MERS-ORF4a,RRP9,K9N4V0,O43818,Non-structural protein ORF4a
