theme,year,cites,first_author,last_author,venue,title,doi
SARS-CoV-2 interactome,2020,4869,David E. Gordon,Natalia Jura,Nature,A SARS-CoV-2 protein interaction map reveals targets for drug repurposing,10.1038/s41586-020-2286-9
SARS-CoV-2 interactome,2020,815,David E. Gordon,Jessica K. Peters,Science,Comparative host-coronavirus protein interaction networks reveal pan-viral disease mechanisms,10.1126/science.abe9403
SARS-CoV-2 interactome,2020,357,Nora Schmidt,Mathias Munschauer,Nature Microbiology,The SARS-CoV-2 RNA–protein interactome in infected human cells,10.1038/s41564-020-00846-z
SARS-CoV-2 interactome,2021,116,Shaojun Zhang,Qiangfeng Cliff Zhang,Cell Research,Comparison of viral RNA–host protein interactomes across pathogenic RNA viruses informs rapid antiviral drug discovery for SARS-CoV-2,10.1038/s41422-021-00581-y
SARS-CoV-2 interactome,2023,12,Marc Horlacher,Annalisa Marsico,NAR Genomics and Bioinformatics,A computational map of the human-SARS-CoV-2 protein–RNA interactome predicted at single-nucleotide resolution,10.1093/nargab/lqad010
SARS-CoV-2 interactome,2023,10,Liuyiqi Jiang,Xin‐Hua Feng,mSystems,High-sensitivity profiling of SARS-CoV-2 noncoding region–host protein interactome reveals the potential regulatory role of negative-sense viral RNA,10.1128/msystems.00135-23
CRISPR host-factor screen,2020,643,Zharko Daniloski,Neville E. Sanjana,Cell,Identification of Required Host Factors for SARS-CoV-2 Infection in Human Cells,10.1016/j.cell.2020.10.030
CRISPR host-factor screen,2020,584,Jin Wei,Craig B. Wilen,Cell,Genome-wide CRISPR Screens Reveal Host Factors Critical for SARS-CoV-2 Infection,10.1016/j.cell.2020.10.028
CRISPR host-factor screen,2020,458,Ruofan Wang,Andreas S. Puschnik,Cell,Genetic Screens Identify Host Factors for SARS-CoV-2 and Common Cold Coronaviruses,10.1016/j.cell.2020.12.004
CRISPR host-factor screen,2020,440,William M. Schneider,John T. Poirier,Cell,Genome-Scale Identification of SARS-CoV-2 and Pan-coronavirus Host Factor Networks,10.1016/j.cell.2020.12.006
CRISPR host-factor screen,2021,295,Yunkai Zhu,Rong Zhang,Nature Communications,A genome-wide CRISPR screen identifies host factors that regulate SARS-CoV-2 entry,10.1038/s41467-021-21213-4
CRISPR host-factor screen,2021,237,Jim Baggen,Dirk Daelemans,Nature Genetics,Genome-wide CRISPR screening identifies TMEM106B as a proviral host factor for SARS-CoV-2,10.1038/s41588-021-00805-2
Host-pathogen PPI networks,2023,14,Muhammad Tahir ul Qamar,Ling‐Ling Chen,Computational and Structural Biotechnology Journal,Deep-HPI-pred: An R-Shiny applet for network-based classification and prediction of Host-Pathogen protein-protein interactions,10.1016/j.csbj.2023.12.010
Host-pathogen PPI networks,2021,12,İrfan Kösesoy,Tamer Kahveci,TURKISH JOURNAL OF BIOLOGY,Prediction of host-pathogen protein interactions by extended network model,10.3906/biy-2009-4
Host-pathogen PPI networks,2020,11,Satyajit Mahapatra,Sitanshu Sekhar Sahu,"2020 IEEE International Students' Conference on Electrical,Electronics and Computer Science (SCEECS)",Boosting predictions of Host-Pathogen protein interactions using Deep neural networks,10.1109/sceecs48394.2020.150
Host-pathogen PPI networks,2020,11,Qurat ul Ain Farooq,Chunhua Li,BMC Infectious Diseases,A systems biology-driven approach to construct a comprehensive protein interaction network of influenza A virus with its host,10.1186/s12879-020-05214-0
Host-pathogen PPI networks,2019,11,Emily E. Ackerman,Jason E. Shoemaker,BMC Bioinformatics,A dual controllability analysis of influenza virus-host protein-protein interaction networks for antiviral drug target discovery,10.1186/s12859-019-2917-z
Host-pathogen PPI networks,2025,1,Yueming Hu,Ming Chen,bioRxiv (Cold Spring Harbor Laboratory),HPInet: Interpretable prediction of Host-Pathogen protein-protein Interactions using a transformer-based neural network,10.1101/2025.08.02.668281
Network medicine / repurposing,2020,1725,Yadi Zhou,Feixiong Cheng,Cell Discovery,Network-based drug repurposing for novel coronavirus 2019-nCoV/SARS-CoV-2,10.1038/s41421-020-0153-3
Network medicine / repurposing,2020,152,Xiangxiang Zeng,Feixiong Cheng,Bioinformatics,Network-based prediction of drug–target interactions using an arbitrary-order proximity embedded deep forest,10.1093/bioinformatics/btaa010
Network medicine / repurposing,2020,30,Paola Stolfi,Paolo Tieri,Frontiers in Cell and Developmental Biology,Designing a Network Proximity-Based Drug Repurposing Strategy for COVID-19,10.3389/fcell.2020.545089
Network medicine / repurposing,2020,10,Cristian Nogales,Harald Schmidt,Handbook of experimental pharmacology,Network Medicine-Based Unbiased Disease Modules for Drug and Diagnostic Target Identification in ROSopathies,10.1007/164_2020_386
Method: PPI link prediction,2018,711,Masashi Tsubaki,Jun Sese,Bioinformatics,Compound–protein interaction prediction with end-to-end learning of neural networks for graphs and sequences,10.1093/bioinformatics/bty535
Method: PPI link prediction,2019,442,I. Kovács,Albert-Ĺaszló Barabási,Nature Communications,Network-based prediction of protein interactions,10.1038/s41467-019-09177-y
Method: PPI link prediction,2022,244,Kanchan Jha,Hiteshi Singh,Scientific Reports,Prediction of protein–protein interaction using graph neural networks,10.1038/s41598-022-12201-9
Method: PPI link prediction,2018,156,Hang Li,Chang Zhou,Molecules,Deep Neural Network Based Predictions of Protein Interactions Using Primary Sequences,10.3390/molecules23081923
Method: PPI link prediction,2018,146,Long Zhang,Jun Wang,Neurocomputing,Protein–protein interactions prediction based on ensemble deep neural networks,10.1016/j.neucom.2018.02.097
Method: PPI link prediction,2019,137,Buzhong Zhang,Qiang Lü,Neurocomputing,Sequence-based prediction of protein-protein interaction sites by simplified long short-term memory network,10.1016/j.neucom.2019.05.013
Method: PPI link prediction,2021,63,Guofeng Lv,Shaoting Zhang,,Learning Unknown from Correlations: Graph Neural Network for Inter-novel-protein Interaction Prediction,10.24963/ijcai.2021/506
AI/LLM over PPI & literature,2023,18,Kanchan Jha,Sourav Karmakar,IEEE/ACM Transactions on Computational Biology and Bioinformatics,Prediction of Protein-Protein Interactions Using Vision Transformer and Language Model,10.1109/tcbb.2023.3248797
AI/LLM over PPI & literature,2023,16,裕二 池谷,Hoifung Poon,arXiv (Cornell University),Distilling Large Language Models for Biomedical Knowledge Extraction: A Case Study on Adverse Drug Events,10.48550/arxiv.2307.06439
AI/LLM over PPI & literature,2024,16,Vahan Arsenyan,Davit Shahnazaryan,,Large Language Models for Biomedical Knowledge Graph Construction: Information extraction from EMR notes,10.18653/v1/2024.bionlp-1.23
AI/LLM over PPI & literature,2022,5,Zhan Tang,Lin Li,KSII Transactions on Internet and Information Systems,A Protein-Protein Interaction Extraction Approach Based on Large Pre-trained Language Model and Adversarial Training,10.3837/tiis.2022.03.002
AI/LLM over PPI & literature,2025,5,Alexander R. Pelletier,Peipei Ping,Journal of Molecular and Cellular Cardiology Plus,Explainable Biomedical Hypothesis Generation via Retrieval Augmented Generation enabled Large Language Models,10.1016/j.jmccpl.2025.100436
AI/LLM over PPI & literature,2025,3,Qidi Xu,Yejin Kim,iScience,Multi agent large language models for biomedical hypothesis generation in drug combination discovery,10.1016/j.isci.2025.113984
AI/LLM over PPI & literature,2024,1,Gabriel Lino Garcia,João Paulo Papa,arXiv (Cornell University),A Review on Scientific Knowledge Extraction using Large Language Models in Biomedical Sciences,10.48550/arxiv.2412.03531
Resources / databases,2018,19224,Damian Szklarczyk,Christian von Mering,Nucleic Acids Research,"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets",10.1093/nar/gky1131
Resources / databases,2022,8900,Damian Szklarczyk,Christian von Mering,Nucleic Acids Research,The STRING database in 2023: protein–protein association networks and functional enrichment analyses for any sequenced genome of interest,10.1093/nar/gkac1000
Resources / databases,2020,8608,Damian Szklarczyk,Christian von Mering,Nucleic Acids Research,"The STRING database in 2021: customizable protein–protein networks, and functional characterization of user-uploaded gene/measurement sets",10.1093/nar/gkaa1074
Resources / databases,2020,1955,Rose Oughtred,Mike Tyers,Protein Science,"The <scp>BioGRID</scp> database: A comprehensive biomedical resource of curated protein, genetic, and chemical interactions",10.1002/pro.3978
