bait,bait_uniprot,prey_gene,prey_uniprot
ABCC8,,ABCC9,
ABCC8,,LMBR1,
ABCG8,,CD320,
ABCG8,,NOTCH3,
ABCG8,,PTPRD,
ABCG8,,TSPAN3,
ALDH3A1,,ALDH3A2,
ALDH3A1,,IGHG3,
ALDH3A1,,IGLL5,
ALDH3A1,,ZNF446,
ALG8,,ALDH1A1,
ALG8,,C12orf5,
AMY1C,,AMY2B,
AMY1C,,GYG1,
AMY1C,,GYG2,
AMY1C,,GYS1,
APOBEC3C,,BLM,
APOBEC3C,,BMS1,
APOBEC3C,,BRIX1,
APOBEC3C,,C10orf2,
APOBEC3C,,C17orf42,
APOBEC3C,,C3orf37,
APOBEC3C,,C4orf14,
APOBEC3C,,CD3EAP,
APOBEC3C,,CHD3,
APOBEC3C,,CLTCL1,
APOBEC3C,,DDX18,
APOBEC3C,,DDX21,
APOBEC3C,,DDX27,
APOBEC3C,,DDX31,
APOBEC3C,,DDX51,
APOBEC3C,,DDX54,
APOBEC3C,,DDX55,
APOBEC3C,,DHX30,
APOBEC3C,,DHX37,
APOBEC3C,,DHX57,
APOBEC3C,,DUSP11,
APOBEC3C,,EGLN1,
APOBEC3C,,FTSJ3,
APOBEC3C,,FYTTD1,
APOBEC3C,,GTPBP10,
APOBEC3C,,HP1BP3,
APOBEC3C,,LENG8,
APOBEC3C,,MLF1IP,
APOBEC3C,,MRPL9,
APOBEC3C,,NAT10,
APOBEC3C,,NGDN,
APOBEC3C,,NIP7,
APOBEC3C,,NLE1,
APOBEC3C,,NMNAT1,
APOBEC3C,,NOC2L,
APOBEC3C,,NOC3L,
APOBEC3C,,NOL8,
APOBEC3C,,NVL,
APOBEC3C,,PATZ1,
APOBEC3C,,PDCD11,
APOBEC3C,,PHF8,
APOBEC3C,,POLR1E,
APOBEC3C,,POLRMT,
APOBEC3C,,PRKRA,
APOBEC3C,,PRKRIR,
APOBEC3C,,PUS7,
APOBEC3C,,RBAK,
APOBEC3C,,RBM19,
APOBEC3C,,RBM23,
APOBEC3C,,RBM28,
APOBEC3C,,RPF1,
APOBEC3C,,RPF2,
APOBEC3C,,RPL26L1,
APOBEC3C,,RPS26P11,
APOBEC3C,,RPS3A,
APOBEC3C,,RRP8,
APOBEC3C,,RSBN1L,
APOBEC3C,,SDAD1,
APOBEC3C,,SRBD1,
APOBEC3C,,SRPK1,
APOBEC3C,,STAU1,
APOBEC3C,,STRBP,
APOBEC3C,,SUPT16H,
APOBEC3C,,TAF1A,
APOBEC3C,,TAF1B,
APOBEC3C,,TAF1C,
APOBEC3C,,TAF1D,
APOBEC3C,,THUMPD3,
APOBEC3C,,TRIB3,
APOBEC3C,,TRMT1L,
APOBEC3C,,URB1,
APOBEC3C,,URB2,
APOBEC3C,,WDR36,
