bait,bait_uniprot,prey_gene,prey_uniprot
HA@284218,Q5EP31,DCTPP1,Q9H773
HA@284218,Q5EP31,RPSA,P08865
HA@480024,A0A097PF20,ANO3,Q9BYT9
HA@480024,A0A097PF20,CANX,P27824
HA@480024,A0A097PF20,ERLEC1,Q96DZ1
HA@480024,A0A097PF20,P4HB,P07237
HA@480024,A0A097PF20,PCNA,P12004
HA@480024,A0A097PF20,PON2,Q15165
HA@480024,A0A097PF20,RPSA,P08865
HA@480024,A0A097PF20,SEL1L,Q9UBV2
M2@641501,C3W5Z0,ATP6V1A,P38606
M2@641501,C3W5Z0,CCT4,P50991
M2@641501,C3W5Z0,DYNC1H1,Q14204
M2@641501,C3W5Z0,EPRS1,P07814
M2@641501,C3W5Z0,ERLIN2,O94905
M2@641501,C3W5Z0,GTF2I,P78347
M2@641501,C3W5Z0,HADHA,P40939
M2@641501,C3W5Z0,HADHB,P55084
M2@641501,C3W5Z0,HSD17B12,Q53GQ0
M2@641501,C3W5Z0,PRKDC,P78527
M2@641501,C3W5Z0,RPN1,P04843
M2@641501,C3W5Z0,TOMM22,Q9NS69
M2@641501,C3W5Z0,VDAC2,P45880
M@284218,Q6DPW5,ABCC1,P33527
M@284218,Q6DPW5,ACSL3,O95573
M@284218,Q6DPW5,ATP2A2,P16615
M@284218,Q6DPW5,ATP6V1A,P38606
M@284218,Q6DPW5,ATXN10,Q9UBB4
M@284218,Q6DPW5,C6orf47,O95873
M@284218,Q6DPW5,CAND1,Q86VP6
M@284218,Q6DPW5,CCT3,P49368
M@284218,Q6DPW5,CCT4,P50991
M@284218,Q6DPW5,COPB1,P53618
M@284218,Q6DPW5,COPG1,Q9Y678
M@284218,Q6DPW5,CPT1A,P50416
M@284218,Q6DPW5,CSE1L,P55060
M@284218,Q6DPW5,CYP24A1,Q07973
M@284218,Q6DPW5,DARS1,P14868
M@284218,Q6DPW5,DHCR7,Q9UBM7
M@284218,Q6DPW5,DNAAF5,Q86Y56
M@284218,Q6DPW5,DYNC1H1,Q14204
M@284218,Q6DPW4,EEF1B2,P24534
M@284218,Q6DPW4,EEF1D,P29692
M@284218,Q6DPW5,EPRS1,P07814
M@284218,Q6DPW5,ERLIN2,O94905
M@284218,Q6DPW5,FANCI,Q9NVI1
M@284218,Q6DPW5,FDFT1,P37268
M@284218,Q6DPW5,GBF1,Q92538
M@284218,Q6DPW5,GCN1,Q92616
M@284218,Q6DPW5,HADHA,P40939
M@284218,Q6DPW5,HADHB,P55084
M@284218,Q6DPW5,HEATR1,Q9H583
M@284218,Q6DPW5,IARS1,P41252
M@284218,Q6DPW5,IPO4,Q8TEX9
M@284218,Q6DPW5,IPO7,O95373
M@284218,Q6DPW5,MARS1,P56192
M@284218,Q6DPW5,MDN1,Q9NU22
M@284218,Q6DPW5,MSMO1,Q15800
M@284218,Q6DPW5,NCAPG2,Q86XI2
M@284218,Q6DPW5,NOC2L,Q9Y3T9
M@284218,Q6DPW5,NOP9,Q86U38
M@284218,Q6DPW5,NUP205,Q92621
M@284218,Q6DPW5,NUP93,Q8N1F7
M@284218,Q6DPW5,PCYOX1,Q9UHG3
M@284218,Q6DPW5,PDS5A,Q29RF7
M@284218,Q6DPW5,PRKDC,P78527
M@284218,Q6DPW5,PYGB,P11216
M@284218,Q6DPW5,RARS1,P54136
M@284218,Q6DPW5,RNF213,Q63HN8
M@284218,Q6DPW5,RPN1,P04843
M@284218,Q6DPW5,RPN2,P04844
M@284218,Q6DPW5,RRAS2,P62070
M@284218,Q6DPW5,SGPL1,O95470
M@284218,Q6DPW5,SLIRP,Q9GZT3
M@284218,Q6DPW5,SMC2,O95347
M@284218,Q6DPW5,SMC4,Q9NTJ3
M@284218,Q6DPW5,SPTLC1,O15269
M@284218,Q6DPW5,SQSTM1,Q13501
M@284218,Q6DPW5,TCP1,P17987
M@284218,Q6DPW5,TNPO1,Q92973
M@284218,Q6DPW5,TNPO3,Q9Y5L0
M@284218,Q6DPW5,UNC45A,Q9H3U1
M@284218,Q6DPW5,UTP20,O75691
M@284218,Q6DPW4,VCL,P18206
M@284218,Q6DPW4,VCP,P55072
M@284218,Q6DPW5,VDAC2,P45880
M@284218,Q6DPW5,XPO1,O14980
M@284218,Q6DPW5,XPO5,Q9HAV4
M@284218,Q6DPW5,XPOT,O43592
NEP@641501,C3W5S6,IFI16,Q16666
NEP@641501,C3W5S6,NIPSNAP1,Q9BPW8
NP@284218,Q5EP28,DAP3,P51398
NP@284218,Q5EP28,DHX15,O43143
NP@284218,Q5EP28,HNRNPR,O43390
NP@284218,Q5EP28,HNRNPUL1,Q9BUJ2
NP@284218,Q5EP28,HNRNPUL2,Q1KMD3
NP@284218,Q5EP28,MRPL18,Q9H0U6
NP@284218,Q5EP28,MRPL22,Q9NWU5
NP@284218,Q5EP28,MRPL4,Q9BYD3
NP@284218,Q5EP28,MRPL44,Q9H9J2
