bait,bait_uniprot,prey_gene,prey_uniprot
AARSD1,,ARID4B,
AARSD1,,DYNLT1,
AARSD1,,FAAP100,
AARSD1,,SPANXN3,
AARSD1,,TRIM45,
AARSD1,,ZMYND19,
AARSD1,,ZNF185,
ADPRH,,SPSB1,
AGPAT3,,ABHD16A,
AGPAT3,,AQP6,
AGPAT3,,BNIP2,
AGPAT3,,CREB3L1,
AGPAT3,,FAM133A,
AGPAT3,,GOLT1A,
AGPAT3,,HSD17B11,
AGPAT3,,HSD17B13,
AGPAT3,,MPP1,
AGPAT3,,NKAPD1,
AGPAT3,,SLC10A1,
AGPAT3,,SLC35C2,
AGPAT3,,SREK1IP1,
AGPAT3,,TMEM14B,
AGPAT3,,TMEM167B,
AGPAT3,,TMX2,
AP1B1,,AGR3,
AP1B1,,CRYBB1,
AP1B1,,FARS2,
AP1B1,,FNDC11,
AP1B1,,GPANK1,
AP1B1,,GTF2I,
AP1B1,,KIF13A,
AP1B1,,LDLRAP1,
AP1B1,,MLH1,
AP1B1,,MSGN1,
AP1B1,,MYG1,
AP1B1,,NECAP1,
AP1B1,,NUP54,
AP1B1,,POM121,
AP1B1,,PSORS1C2,
AP1B1,,RNF39,
AP1B1,,TBC1D22B,
AP1B1,,TSGA10IP,
AP1B1,,U2AF1,
APPBP2,,AADAC,
APPBP2,,ACTN1,
APPBP2,,AK3,
APPBP2,,ALDH1L1,
APPBP2,,ARMCX5,
APPBP2,,ATP13A1,
APPBP2,,BCL7A,
APPBP2,,BIN2,
APPBP2,,CCDC167,
APPBP2,,CLCN1,
APPBP2,,COL24A1,
APPBP2,,CORO2B,
APPBP2,,CST2,
APPBP2,,DOLK,
APPBP2,,DPYS,
APPBP2,,FSTL1,
APPBP2,,FXYD7,
APPBP2,,GCSAM,
APPBP2,,GPRC5C,
APPBP2,,GSTP1,
APPBP2,,HGFAC,
APPBP2,,HSD3B7,
APPBP2,,HSPA4,
APPBP2,,ITGB4,
APPBP2,,ITGB5,
APPBP2,,KLHL35,
APPBP2,,LANCL2,
APPBP2,,LUC7L2,
APPBP2,,LUZP4,
APPBP2,,MAN2B2,
APPBP2,,MCOLN1,
APPBP2,,MGAT4B,
APPBP2,,MLLT3,
APPBP2,,MMP28,
APPBP2,,MSH2,
APPBP2,,MSLN,
APPBP2,,MUL1,
APPBP2,,MYLK,
APPBP2,,NHERF1,
APPBP2,,PEX39,
APPBP2,,PNPLA5,
APPBP2,,PPIL6,
APPBP2,,PPP1R8,
APPBP2,,PSAP,
APPBP2,,RAB7B,
APPBP2,,RHEB,
APPBP2,,RILPL1,
