bait,bait_uniprot,prey_gene,prey_uniprot
ORF-Q9Q2G4,Q9Q2G4,AHCY,P23526
ORF-Q9Q2G4,Q9Q2G4,AKAP9,Q99996
ORF-Q9Q2G4,Q9Q2G4,ALMS1,Q8TCU4
ORF-Q9Q2G4,Q9Q2G4,ANAPC1,Q9H1A4
ORF-Q9Q2G4,Q9Q2G4,ANKZF1,Q9H8Y5
ORF-Q9Q2G4,Q9Q2G4,ARHGEF12,Q9NZN5
ORF-Q9Q2G4,Q9Q2G4,ARRB2,P32121
ORF-Q9Q2G4,Q9Q2G4,BICD2,Q8TD16
ORF-Q9Q2G4,Q9Q2G4,CARM1,Q86X55
ORF-Q9Q2G4,Q9Q2G4,CCAR2,Q8N163
ORF-Q9Q2G4,Q9Q2G4,DIAPH1,O60610
ORF-Q9Q2G4,Q9Q2G4,DOHH,Q9BU89
ORF-Q9Q2G4,Q9Q2G4,DOK1,Q99704
ORF-Q9Q2G4,Q9Q2G4,EIF3A,Q14152
ORF-Q9Q2G4,Q9Q2G4,EIF3B,P55884
ORF-Q9Q2G4,Q9Q2G4,EIF3C,Q99613
ORF-Q9Q2G4,Q9Q2G4,EIF3D,O15371
ORF-Q9Q2G4,Q9Q2G4,EIF3E,P60228
ORF-Q9Q2G4,Q9Q2G4,EIF3F,O00303
ORF-Q9Q2G4,Q9Q2G4,EIF3H,O15372
ORF-Q9Q2G4,Q9Q2G4,EIF3K,Q9UBQ5
ORF-Q9Q2G4,Q9Q2G4,EIF3L,Q9Y262
ORF-Q9Q2G4,Q9Q2G4,EIF3M,Q7L2H7
ORF-Q9Q2G4,Q9Q2G4,EML3,Q32P44
ORF-Q9Q2G4,Q9Q2G4,EPPK1,P58107
ORF-Q9Q2G4,Q9Q2G4,FKBP4,Q02790
ORF-Q9Q2G4,Q9Q2G4,FLAD1,Q8NFF5
ORF-Q9Q2G4,Q9Q2G4,FLCN,Q8NFG4
ORF-Q9Q2G4,Q9Q2G4,FNIP1,Q8TF40
ORF-Q9Q2G4,Q9Q2G4,FOXC1,Q12948
ORF-Q9Q2G4,Q9Q2G4,GAK,O14976
ORF-Q9Q2G4,Q9Q2G4,GOLGA1,Q92805
ORF-Q9Q2G4,Q9Q2G4,HERC2,O95714
ORF-Q9Q2G4,Q9Q2G4,HGH1,Q9BTY7
ORF-Q9Q2G4,Q9Q2G4,IFT122,Q9HBG6
ORF-Q9Q2G4,Q9Q2G4,LIMD1,Q9UGP4
ORF-Q9Q2G4,Q9Q2G4,MCL1,Q07820
ORF-Q9Q2G4,Q9Q2G4,MCM4,P33991
ORF-Q9Q2G4,Q9Q2G4,MSH2,P43246
