bait,bait_uniprot,prey_gene,prey_uniprot
Apa,,CPSF6,
Apa,,DNM2,
Apa,,DOK3,
Apa,,EDC4,
Apa,,EVL,
Apa,,FUBP1,
Apa,,FUBP3,
Apa,,KHSRP,
Apa,,NONO,
Apa,,NUDT21,
Apa,,PAICS,
Apa,,PDCD6IP,
Apa,,PRRC1,
Apa,,PTPN23,
Apa,,RBM12,
Apa,,SEC13,
Apa,,SEC23A,
Apa,,SEC23B,
Apa,,SEC24D,
Apa,,SEC31A,
Apa,,SFPQ,
Apa,,TRIP6,
Apa,,VASP,
Cfp6,,IFI30,
Cfp6,,IPO5,
Cfp6,,RPL13,
Cpsa,,C3orf43,
Esat6,,PGRMC1,
Esat6,,PRC1,
Esat6,,PTGES2,
Esat6,,RAB1B,
Espr,,FBXW11,
Espr,,XRCC5,
Espr,,XRCC6,
Esxq,,ACBD3,
Esxq,,DCTPP1,
Esxq,,HEATR2,
Lpqn,,ANKRD58,
Lpqn,,C14orf133,
Lpqn,,C14orf166,
Lpqn,,C22orf28,
Lpqn,,CBL,
Lpqn,,DDX1,
Lpqn,,DIAPH2,
Lpqn,,EIF2C2,
Lpqn,,EIF3A,
Lpqn,,EIF3C,
Lpqn,,EIF4E2,
Lpqn,,ERO1L,
Lpqn,,FMNL1,
Lpqn,,GIGYF2,
Lpqn,,GLT25D1,
Lpqn,,KCTD5,
Lpqn,,KIAA0907,
Lpqn,,MTHFD1,
Lpqn,,NAP1L4,
Lpqn,,PLOD3,
Lpqn,,SCYL2,
Lpqn,,SF1,
Lpqn,,TARDBP,
Lpqn,,TNRC6B,
Lpqn,,VPS33B,
Lpqn,,YTHDF3,
Lpqr,,CDC37,
Lpqw,,Q8N290-Putative uncharacterized,
Mtb12,,EPDR1,
Mtb12,,ZYG11B,
Mtc28,,C3orf56,
P04596,,NEDD8,
P04596,,RBX1,
Pe25,,ACSL4,
Pe25,,ARL8B,
Pe25,,BAX,
Pe25,,VAT1,
Pe35,,DYNLL1,
Pe35,,NUP153,
Ppe11,,GCS1,
Ppe11,,TMED10,
Rv0787,,RAPGEF3,
Rv0999,,SORBS1,
Rv1075c,,ASH2L,
Rv1075c,,DLD,
Rv1075c,,DPY30,
Rv1075c,,PPP2CB,
Rv1075c,,PPP2R1A,
Rv1075c,,PPP2R2A,
Rv1075c,,PPP6C,
Rv1075c,,RBBP5,
Rv1498a,,HNRNPA1,
Rv1498a,,PFDN6,
Rv1804c,,ACAP1,
Rv1804c,,ALDH16A1,
Rv1804c,,DERA,
Rv1804c,,FAM128B,
Rv1804c,,MOBKL3,
Rv1804c,,STRN,
Rv1804c,,STRN3,
Rv1804c,,STRN4,
Rv1804c,,TANK,
Rv1804c,,TGFB1I1,
Rv1804c,,TUBG1,
Rv1804c,,TUBGCP2,
Rv1804c,,TUBGCP3,
Rv1816,,CSNK2A1,
Rv1816,,CSNK2B,
Rv1816,,FUCA1,
Rv1816,,KBTBD4,
Rv1816,,USP9X,
Rv1816,,ZC3H18,
Rv1827,,AHCYL1,
Rv1827,,AP3B1,
Rv1827,,BLOC1S1,
Rv1827,,BTF3,
Rv1827,,CIP29,
Rv1827,,EIF5B,
Rv1827,,LUC7L2,
Rv1827,,MCM2,
Rv1827,,MCM3,
Rv1827,,MCM5,
Rv1827,,MCM7,
Rv1827,,NACA,
Rv1827,,PCM1,
Rv1827,,PTMS,
Rv1827,,RNPS1,
Rv1827,,SFRS2,
Rv1827,,SNAPIN,
Rv1827,,SRRM1,
Rv1827,,SRRM2,
Rv1827,,UBE2O,
Rv1906c,,DHPS,
Rv1906c,,EZR,
Rv1906c,,GLUL,
Rv2074,,ATG4B,
Rv2074,,CAPZB,
Rv2074,,FAM21B,
Rv2074,,FKBP15,
Rv2074,,HTATSF1,
Rv2074,,IWS1,
Rv2074,,KIAA0196,
Rv2074,,LTV1,
Rv2074,,NPM1,
Rv2074,,NSFL1C,
Rv2074,,RPLP0,
Rv2074,,RPLP2,
Rv2074,,VCP,
Rv2074,,VPRBP,
Rv2401,,USP11,
Rv2469c,,DICER1,
Rv2469c,,EPRS,
Rv2469c,,IARS,
Rv2469c,,JTV1,
Rv2469c,,MARS,
Rv2469c,,OLA1,
Rv2469c,,RARS,
Rv2469c,,TIMM13,
Rv2469c,,TIMM8A,
Rv2469c,,TUFM,
Rv2491,,FAM175B,
Rv2491,,SCP2,
Rv3033,,IL16,
Rv3033,,LASP1,
Rv3033,,MAGED2,
Rv3033,,PCBP1,
Rv3033,,ZC3H7A,
Rv3267,,DPP9,
Rv3668c,,HCFC1,
Rv3722c,,CCT2,
Rv3722c,,CCT3,
Rv3722c,,CCT4,
Rv3722c,,CCT5,
Rv3722c,,CCT7,
Rv3722c,,CCT8,
Tb8.4,,NRAS,
Tb8.4,,RAB11B,
Tb8.4,,RAB5A,
Trxa,,TXNRD1,
